PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,Sizing,Drawdown type,Drawdown,DLL,Buffer,Payout requirements,,,Payout mini,Payout max,,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,Consistency,Min trading days,Min Profit per day,,4st,5th,,
1,Funded Next Futures,EAU,2022,Funded Next Futures Bolt,50k,3 minis / 9 micros,OTP,"$99,99","$69,99",-,No,Yes,EOD,$2 000,$1 000,$3 000,40%,3,FREE,No,Yes,3 minis / 9 micros,EOD,$2 000,-,$2 100,-,-,-,$250,,,80%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1 200,$7 700,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5st,6th+,,
2,Funded Next Futures,EAU,2022,Funded Next Futures Rapid,25k,2 minis / 10 micros,OTP,"$99,99","$69,99",-,No,Yes,EOD,$1 000,-,$1 500,40%,3,FREE,No,Yes,3 minis / 15 micros,EOD,$1 000,-,-,40%,3,-,$250,$800,No limit,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.
3,Funded Next Futures,EAU,2022,Funded Next Futures Rapid,50k,3 minis / 15 micros,OTP,"$199,99","$139,99",-,No,Yes,EOD,$2 000,-,$3 000,40%,3,FREE,No,Yes,5 minis / 25 micros,EOD,$2 000,-,-,40%,3,-,$250,$1 500,No limit,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.
4,Funded Next Futures,EAU,2022,Funded Next Futures Rapid,100k,5 minis / 25 micros,OTP,"$279,99","$195,99",-,No,Yes,EOD,$2 500,-,$5 000,40%,3,FREE,No,Yes,7 minis / 35 micros,EOD,$2 500,-,-,40%,3,-,$500,$2 500,No limit,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.
5,Funded Next Futures,EAU,2022,Funded Next Futures Legacy,25k,2 minis / 20 micros,OTP,"$79,99","$55,99",-,No,Yes,EOD,$1 000,-,$1 250,40%,3,FREE,No,Yes,3 minis / 30 micros,EOD,$1 000,-,$500,-,5,$100,$250,$3 000,100% of balance,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.
6,Funded Next Futures,EAU,2022,Funded Next Futures Legacy,50k,3 minis / 30 micros,OTP,"$149,99","$104,99",-,No,Yes,EOD,$2 000,-,$3 000,40%,3,FREE,No,Yes,5 minis / 50 micros,EOD,$2 000,-,$500,-,5,$200,$250,$6 000,100% of balance,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.
7,Funded Next Futures,EAU,2022,Funded Next Futures Legacy,100k,5 minis / 50 micros,OTP,"$249,99","$174,99",-,No,Yes,EOD,$3 000,-,$6 000,40%,3,FREE,No,Yes,7 minis / 70 micros,EOD,$3 000,-,$500,-,5,$200,$250,$6 000,100% of balance,80%,The first withdrawal resets the maximum loss limit (MLL) back to the initial balance.