PROPFIRM,,,,,,,,,,,EVALUATION,,,,,,,,FUNDED,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,,Activation Fees,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,Min trading days,,,,,,,,,,,,,,,
1,Taurus Arena,CY,2025,Taurus Arena Prime,25k,2 minis / 20 micros,Subscription,$59,-,-,No,Yes,Trail,$1 000,-,$1 500,-,-,$119,No,Yes,2 minis / 20 micros,Trail,$1 000,-,$1 600,20%,5,$150,$500,$1 000,85%,
2,Taurus Arena,CY,2025,Taurus Arena Prime,50k,4 minis / 40 micros,Subscription,$79,-,-,No,Yes,Trail,$2 000,-,$3 000,-,-,$119,No,Yes,4 minis / 40 micros,Trail,$2 000,-,$2 600,20%,5,$150,$500,$1 500,85%,
3,Taurus Arena,CY,2025,Taurus Arena Prime,100k,6 minis / 60 micros,Subscription,$119,-,-,No,Yes,Trail,$3 000,-,$6 000,-,-,$199,No,Yes,6 minis / 60 micros,Trail,$3 000,-,$3 100,20%,5,$150,$500,$2 000,85%,
4,Taurus Arena,CY,2025,Taurus Arena Frees,25k,2 minis / 20 micros,Subscription,$99,"$64,50",MTD,No,Yes,Trail,$1 000,-,$1 500,-,-,FREE,No,Yes,2 minis / 20 micros,Trail,$1 000,-,$2 500,30%,5,$150,$500,$1 000,85%,
5,Taurus Arena,CY,2025,Taurus Arena Frees,50k,4 minis / 40 micros,Subscription,$129,"$84,00",MTD,No,Yes,Trail,$2 000,-,$3 000,-,-,FREE,No,Yes,4 minis / 40 micros,Trail,$2 000,-,$3 000,30%,5,$150,$500,$1 500,85%,
6,Taurus Arena,CY,2025,Taurus Arena Frees,100k,6 minis / 60 micros,Subscription,$229,"$149,00",MTD,No,Yes,Trail,$3 000,-,$6 000,-,-,FREE,No,Yes,6 minis / 60 micros,Trail,$3 000,-,$4 000,30%,5,$150,$500,$2 000,85%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPFIRM,,,,,,,,,,,DIRECT FUNDED RULES,,,,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overweek / Overnight,Trading News,"Sizing
(Scaling plan)",Drawdown type,Drawdown,DLL,Buffer,Consistency,Min trading days,Min profit per day,Payout mini,Payout max,Profit Split,Notes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Taurus Arena,CY,2025,Taurus Arena Direct Prime,25k,2 minis / 20 micros,OTP,$318,"$223,00",MTD,No,Yes,2 minis / 20 micros,Trail,$1 000,-,$1 600,20%,5,$150,$500,$1 000,85%,,,,,,,,,,
8,Taurus Arena,CY,2025,Taurus Arena Direct Prime,50k,4 minis / 40 micros,OTP,$558,"$391,00",MTD,No,Yes,4 minis / 40 micros,Trail,$2 000,-,$2 600,20%,5,$150,$500,$1 500,85%,,,,,,,,,,
9,Taurus Arena,CY,2025,Taurus Arena Direct Prime,100k,6 minis / 60 micros,OTP,$738,"$517,00",MTD,No,Yes,6 minis / 60 micros,Trail,$3 000,-,$3 100,20%,5,$150,$500,$2 000,85%,,,,,,,,,,