PROPFIRM,,,,,,,,EVALUATION,,,,,,,,,,FUNDED,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,Activation Fees,Overweek / Overnight,Trading News,Drawdown type,Drawdown,Scaling Plan,,Buffer,Payout mini,Standard Path,,,Consistency Path,,,Profit Split,Notes
,,,,,,,,,,,,,,,,,Consistency,,,,,,Profit Range,Size contract,,,Payout max,Payout requirements,,Payout max,Payout requirements,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minimum tradind days,Minimum profit per day,,Consistency,Minimum tradind days,,
1,TopStep,US,2012,TopStep Standard,50k,5 minis / 50 micros,Subscription,"$49,00",-,-,No,Yes,EOD,$2 000,No,$3 000,50%,$149,No,Yes,EOD,$2 000, < $1 500,2 minis / 20 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,3 minis / 30 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $2 000,5 minis / 50 micros,,,,,,,,,,
2,TopStep,US,2012,TopStep,50k,5 minis / 50 micros,Subscription,"$109,00",-,-,No,Yes,EOD,"$2 000,00",No,"$3 000,00",50%,FREE,No,Yes,EOD,"$2 000,00", < $1 500,2 minis / 20 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,3 minis / 30 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $2 000,5 minis / 50 micros,,,,,,,,,,
3,TopStep,US,2012,TopStep Standard,100k,10 minis / 100 micros,Subscription,"$99,00",-,-,No,Yes,EOD,"$3 000,00",No,"$6 000,00",50%,"$149,00",No,Yes,EOD,"$3 000,00", < $1 500,3 minis / 30 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,4 minis / 40 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $3 000,5 minis / 50 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $3 000,10 minis / 100 micros,,,,,,,,,,
4,TopStep,US,2012,TopStep,100k,10 minis / 100 micros,Subscription,"$159,00",-,-,No,Yes,EOD,"$3 000,00",No,"$6 000,00",50%,FREE,No,Yes,EOD,"$3 000,00", < $1 500,3 minis / 30 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,4 minis / 40 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $3 000,5 minis / 50 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $3 000,10 minis / 100 micros,,,,,,,,,,
5,TopStep,US,2012,TopStep Standard,150k,15 minis / 150 micros,Subscription,"$149,00",-,-,No,Yes,EOD,"$4 500,00",No,"$9 000,00",50%,"$149,00",No,Yes,EOD,"$4 500,00", < $1 500,3 minis / 30 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,4 minis / 40 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $3 000,5 minis / 50 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 500,10 minis / 100 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $4 500,15 minis / 150 micros,,,,,,,,,,
6,TopStep,US,2012,TopStep,150k,15 minis / 150 micros,Subscription,"$209,00",-,-,No,Yes,EOD,"$4 500,00",No,"$9 000,00",50%,FREE,No,Yes,EOD,"$4 500,00", < $1 500,3 minis / 30 micros,-,$375,$5 000,5,$150,$6 000,40%,3,90%,"Request 50% of account balance
Other 50% stays as buffer"
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 000,4 minis / 40 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $3 000,5 minis / 50 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 500,10 minis / 100 micros,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $4 500,15 minis / 150 micros,,,,,,,,,,